,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
10,Morva,"Foreign Guest, Guzy",466826,False,https://api.spotify.com/v1/tracks/5W1qgpeS9Y7eS9FvowV8ZF,5W1qgpeS9Y7eS9FvowV8ZF,Agnus Dei,33,https://p.scdn.co/mp3-preview/0408b52e6427be7e6218e1fd140b6f637a1b8794?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:5W1qgpeS9Y7eS9FvowV8ZF,0.16,https://api.spotify.com/v1/audio-analysis/5W1qgpeS9Y7eS9FvowV8ZF,0.62,466827,0.53,5W1qgpeS9Y7eS9FvowV8ZF,0.806,7,0.112,-12.815,0,0.038,120.482,4,https://api.spotify.com/v1/tracks/5W1qgpeS9Y7eS9FvowV8ZF,audio_features,spotify:track:5W1qgpeS9Y7eS9FvowV8ZF,0.241
11,Calling Home,"Tiefschwarz, Yawk",377182,False,https://api.spotify.com/v1/tracks/4QMkxxygJ2iDcLlJgaiPiD,4QMkxxygJ2iDcLlJgaiPiD,Calling Home,33,https://p.scdn.co/mp3-preview/e05b8369668b127e83d0b1869a83683d34c8cac8?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:4QMkxxygJ2iDcLlJgaiPiD,0.00182,https://api.spotify.com/v1/audio-analysis/4QMkxxygJ2iDcLlJgaiPiD,0.664,377182,0.588,4QMkxxygJ2iDcLlJgaiPiD,0.839,11,0.11,-13.293,1,0.05,124.007,4,https://api.spotify.com/v1/tracks/4QMkxxygJ2iDcLlJgaiPiD,audio_features,spotify:track:4QMkxxygJ2iDcLlJgaiPiD,0.231
12,Lust,"Tigerskin, K.E.E.N.E., Elli, David Mayer",535998,False,https://api.spotify.com/v1/tracks/28Aw78Nqng9IVq6Jpl8qrK,28Aw78Nqng9IVq6Jpl8qrK,Lust - David Mayer Remix,32,https://p.scdn.co/mp3-preview/38c6387cd2ca06c80606a285024fbbcf6db1609b?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:28Aw78Nqng9IVq6Jpl8qrK,0.00424,https://api.spotify.com/v1/audio-analysis/28Aw78Nqng9IVq6Jpl8qrK,0.784,535999,0.763,28Aw78Nqng9IVq6Jpl8qrK,0.899,11,0.0465,-8.265,0,0.0481,122.011,4,https://api.spotify.com/v1/tracks/28Aw78Nqng9IVq6Jpl8qrK,audio_features,spotify:track:28Aw78Nqng9IVq6Jpl8qrK,0.041
13,Burnin' Up,"Friend Within, Kideko",321951,False,https://api.spotify.com/v1/tracks/79hd7QPOOQ3EPTl0GkY335,79hd7QPOOQ3EPTl0GkY335,Burnin' Up,52,https://p.scdn.co/mp3-preview/f49dde2ee091b32d5981ded0836f3a18f1c0cb23?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:79hd7QPOOQ3EPTl0GkY335,0.00383,https://api.spotify.com/v1/audio-analysis/79hd7QPOOQ3EPTl0GkY335,0.848,321951,0.937,79hd7QPOOQ3EPTl0GkY335,0.207,6,0.0532,-6.246,0,0.0987,123.04,4,https://api.spotify.com/v1/tracks/79hd7QPOOQ3EPTl0GkY335,audio_features,spotify:track:79hd7QPOOQ3EPTl0GkY335,0.677
14,Lodemann Hallucinations,"Jimpster, Andre Lodemann",492769,False,https://api.spotify.com/v1/tracks/5rOEYfGwNlNUfOh3OEqXw5,5rOEYfGwNlNUfOh3OEqXw5,Towards The Seer - André Lodemann Remix,30,https://p.scdn.co/mp3-preview/e8da15eaf39f575655c1453f32cd3fe124858a86?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:5rOEYfGwNlNUfOh3OEqXw5,0.107,https://api.spotify.com/v1/audio-analysis/5rOEYfGwNlNUfOh3OEqXw5,0.801,492769,0.606,5rOEYfGwNlNUfOh3OEqXw5,0.859,1,0.0657,-9.865,0,0.0536,123.016,4,https://api.spotify.com/v1/tracks/5rOEYfGwNlNUfOh3OEqXw5,audio_features,spotify:track:5rOEYfGwNlNUfOh3OEqXw5,0.573
15,Everyday,Adana Twins,424561,False,https://api.spotify.com/v1/tracks/1vEq5crvEWufZrFcx3QiQY,1vEq5crvEWufZrFcx3QiQY,Strange,48,https://p.scdn.co/mp3-preview/90814d289632fda1e608790d2c6ff8363350b63d?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:1vEq5crvEWufZrFcx3QiQY,0.00708,https://api.spotify.com/v1/audio-analysis/1vEq5crvEWufZrFcx3QiQY,0.865,424562,0.66,1vEq5crvEWufZrFcx3QiQY,0.667,6,0.0716,-10.61,0,0.0536,120.013,4,https://api.spotify.com/v1/tracks/1vEq5crvEWufZrFcx3QiQY,audio_features,spotify:track:1vEq5crvEWufZrFcx3QiQY,0.768
18,The Night Land,"Talaboman, John Talabot, Axel Boman",510776,False,https://api.spotify.com/v1/tracks/4qGD7uaQhKDes1s4bK6TAK,4qGD7uaQhKDes1s4bK6TAK,Loser's Hymn,39,https://p.scdn.co/mp3-preview/8b4d77252278c9d9e67a80798501a2ab2278826e?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:4qGD7uaQhKDes1s4bK6TAK,0.242,https://api.spotify.com/v1/audio-analysis/4qGD7uaQhKDes1s4bK6TAK,0.525,510777,0.656,4qGD7uaQhKDes1s4bK6TAK,0.932,0,0.178,-12.92,0,0.0309,117.991,4,https://api.spotify.com/v1/tracks/4qGD7uaQhKDes1s4bK6TAK,audio_features,spotify:track:4qGD7uaQhKDes1s4bK6TAK,0.623
20,Polarized,Ryan Mac,428000,False,https://api.spotify.com/v1/tracks/2k1SL9uPgvmFxjP48lJbq0,2k1SL9uPgvmFxjP48lJbq0,Polarized,30,https://p.scdn.co/mp3-preview/5e6761b38a19a6d3675161bf967967a4b29955c9?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:2k1SL9uPgvmFxjP48lJbq0,2.98e-05,https://api.spotify.com/v1/audio-analysis/2k1SL9uPgvmFxjP48lJbq0,0.69,428000,0.825,2k1SL9uPgvmFxjP48lJbq0,0.871,10,0.112,-11.081,0,0.0405,120.006,4,https://api.spotify.com/v1/tracks/2k1SL9uPgvmFxjP48lJbq0,audio_features,spotify:track:2k1SL9uPgvmFxjP48lJbq0,0.0361
22,Walk to 159,Alba,398343,False,https://api.spotify.com/v1/tracks/7xD4KYGo0knc5AOajv8aiw,7xD4KYGo0knc5AOajv8aiw,Walk to 159,31,https://p.scdn.co/mp3-preview/3ec3f9926db2b74c3c0a1b09f4ac44c416c454a6?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:7xD4KYGo0knc5AOajv8aiw,0.0553,https://api.spotify.com/v1/audio-analysis/7xD4KYGo0knc5AOajv8aiw,0.831,398344,0.688,7xD4KYGo0knc5AOajv8aiw,0.89,3,0.0809,-6.985,0,0.206,124.024,4,https://api.spotify.com/v1/tracks/7xD4KYGo0knc5AOajv8aiw,audio_features,spotify:track:7xD4KYGo0knc5AOajv8aiw,0.373
23,Best Part of Us,"AmPm, Michael Kaneko",241259,False,https://api.spotify.com/v1/tracks/1rEd19h2JPWpcCWlYZUTeU,1rEd19h2JPWpcCWlYZUTeU,Best Part of Us (Instrumental),30,https://p.scdn.co/mp3-preview/ddf326f37676024b4cde85d459ba060235e13ea4?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:1rEd19h2JPWpcCWlYZUTeU,0.0751,https://api.spotify.com/v1/audio-analysis/1rEd19h2JPWpcCWlYZUTeU,0.804,241259,0.7,1rEd19h2JPWpcCWlYZUTeU,0.905,6,0.0969,-8.961,1,0.0397,114.001,4,https://api.spotify.com/v1/tracks/1rEd19h2JPWpcCWlYZUTeU,audio_features,spotify:track:1rEd19h2JPWpcCWlYZUTeU,0.379
