,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
11,Playboi Carti,Playboi Carti,181812,True,https://api.spotify.com/v1/tracks/1e1JKLEDKP7hEQzJfNAgPl,1e1JKLEDKP7hEQzJfNAgPl,Magnolia,83,,2,track,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,0.012,https://api.spotify.com/v1/audio-analysis/1e1JKLEDKP7hEQzJfNAgPl,0.791,181812,0.586,1e1JKLEDKP7hEQzJfNAgPl,0.0,11,0.46,-7.372,0,0.29,163.029,4,https://api.spotify.com/v1/tracks/1e1JKLEDKP7hEQzJfNAgPl,audio_features,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,0.42
12,Unforgettable,"French Montana, Swae Lee",233832,True,https://api.spotify.com/v1/tracks/1F2HXIJrE2Xn81OzT2zZvW,1F2HXIJrE2Xn81OzT2zZvW,Unforgettable,94,https://p.scdn.co/mp3-preview/3814de3ede7445566a5b176bb23120af44da62d8?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1F2HXIJrE2Xn81OzT2zZvW,0.0293,https://api.spotify.com/v1/audio-analysis/1F2HXIJrE2Xn81OzT2zZvW,0.726,233833,0.769,1F2HXIJrE2Xn81OzT2zZvW,0.0101,6,0.104,-5.043,1,0.123,97.985,4,https://api.spotify.com/v1/tracks/1F2HXIJrE2Xn81OzT2zZvW,audio_features,spotify:track:1F2HXIJrE2Xn81OzT2zZvW,0.75
14,More Life,Drake,189229,True,https://api.spotify.com/v1/tracks/6UjfByV1lDLW0SOVQA4NAi,6UjfByV1lDLW0SOVQA4NAi,Gyalchester,85,,9,track,spotify:track:6UjfByV1lDLW0SOVQA4NAi,0.0343,https://api.spotify.com/v1/audio-analysis/6UjfByV1lDLW0SOVQA4NAi,0.872,189230,0.389,6UjfByV1lDLW0SOVQA4NAi,0.000679,1,0.0941,-8.343,1,0.0634,131.012,4,https://api.spotify.com/v1/tracks/6UjfByV1lDLW0SOVQA4NAi,audio_features,spotify:track:6UjfByV1lDLW0SOVQA4NAi,0.15
15,Everybody,"Logic, Alessia Cara, Khalid",250173,True,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,87,,10,track,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.57,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.629,250173,0.572,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.192,-7.733,0,0.0387,100.015,4,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.38
16,NAV,NAV,199520,True,https://api.spotify.com/v1/tracks/5qbcsZMwL0x46sX7VO37Ye,5qbcsZMwL0x46sX7VO37Ye,Up,80,,6,track,spotify:track:5qbcsZMwL0x46sX7VO37Ye,0.0314,https://api.spotify.com/v1/audio-analysis/5qbcsZMwL0x46sX7VO37Ye,0.705,199520,0.492,5qbcsZMwL0x46sX7VO37Ye,0.0,8,0.106,-6.762,0,0.0905,77.114,4,https://api.spotify.com/v1/tracks/5qbcsZMwL0x46sX7VO37Ye,audio_features,spotify:track:5qbcsZMwL0x46sX7VO37Ye,0.368
17,DAMN.,Kendrick Lamar,185946,True,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj,6HZILIRieu8S0iqY8kIKhj,DNA.,91,,2,track,spotify:track:6HZILIRieu8S0iqY8kIKhj,0.0047,https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj,0.637,185947,0.514,6HZILIRieu8S0iqY8kIKhj,0.0,1,0.094,-6.763,1,0.365,139.931,4,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj,audio_features,spotify:track:6HZILIRieu8S0iqY8kIKhj,0.379
18,I Decided.,Big Sean,213693,True,https://api.spotify.com/v1/tracks/1jQsKN68yE94tMYml0wHMd,1jQsKN68yE94tMYml0wHMd,Jump Out The Window,76,,5,track,spotify:track:1jQsKN68yE94tMYml0wHMd,0.147,https://api.spotify.com/v1/audio-analysis/1jQsKN68yE94tMYml0wHMd,0.745,213693,0.714,1jQsKN68yE94tMYml0wHMd,0.0,1,0.132,-6.729,1,0.0768,136.972,4,https://api.spotify.com/v1/tracks/1jQsKN68yE94tMYml0wHMd,audio_features,spotify:track:1jQsKN68yE94tMYml0wHMd,0.539
19,Disrespectful,G4SHI,202751,True,https://api.spotify.com/v1/tracks/0dvu4Irbq0SM5BWny30rRR,0dvu4Irbq0SM5BWny30rRR,Disrespectful,75,https://p.scdn.co/mp3-preview/c349e2baa9009cce99170a434ddec5468adb89c6?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:0dvu4Irbq0SM5BWny30rRR,0.022,https://api.spotify.com/v1/audio-analysis/0dvu4Irbq0SM5BWny30rRR,0.71,202752,0.547,0dvu4Irbq0SM5BWny30rRR,6.04e-05,1,0.12,-8.215,1,0.0691,152.003,4,https://api.spotify.com/v1/tracks/0dvu4Irbq0SM5BWny30rRR,audio_features,spotify:track:0dvu4Irbq0SM5BWny30rRR,0.16
20,Culture,Migos,257545,True,https://api.spotify.com/v1/tracks/76Y0gxtTxN0FyDCYh5qYQj,76Y0gxtTxN0FyDCYh5qYQj,Get Right Witcha,83,https://p.scdn.co/mp3-preview/0b87da8236cde7dc58720eade86ca0744350fada?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:76Y0gxtTxN0FyDCYh5qYQj,0.0646,https://api.spotify.com/v1/audio-analysis/76Y0gxtTxN0FyDCYh5qYQj,0.95,257546,0.743,76Y0gxtTxN0FyDCYh5qYQj,1.19e-05,10,0.103,-5.861,0,0.238,136.98,4,https://api.spotify.com/v1/tracks/76Y0gxtTxN0FyDCYh5qYQj,audio_features,spotify:track:76Y0gxtTxN0FyDCYh5qYQj,0.63
21,Teenage Emotions,Lil Yachty,168320,True,https://api.spotify.com/v1/tracks/2hfuZh5FuIOFMoUPU01fjv,2hfuZh5FuIOFMoUPU01fjv,Harley,65,,5,track,spotify:track:2hfuZh5FuIOFMoUPU01fjv,0.00261,https://api.spotify.com/v1/audio-analysis/2hfuZh5FuIOFMoUPU01fjv,0.713,168320,0.599,2hfuZh5FuIOFMoUPU01fjv,0.0,0,0.168,-5.364,1,0.0386,143.064,4,https://api.spotify.com/v1/tracks/2hfuZh5FuIOFMoUPU01fjv,audio_features,spotify:track:2hfuZh5FuIOFMoUPU01fjv,0.222
22,Playboi Carti,"Playboi Carti, Lil Uzi Vert",235535,True,https://api.spotify.com/v1/tracks/59J5nzL1KniFHnU120dQzt,59J5nzL1KniFHnU120dQzt,wokeuplikethis*,82,,4,track,spotify:track:59J5nzL1KniFHnU120dQzt,0.0133,https://api.spotify.com/v1/audio-analysis/59J5nzL1KniFHnU120dQzt,0.785,235535,0.622,59J5nzL1KniFHnU120dQzt,0.0,8,0.154,-6.741,1,0.254,78.475,4,https://api.spotify.com/v1/tracks/59J5nzL1KniFHnU120dQzt,audio_features,spotify:track:59J5nzL1KniFHnU120dQzt,0.478
